Year,Category,Group,Count
2011,Age at Diagnosis,0-11,16
2011,Age at Diagnosis,12-14,2
2011,Age at Diagnosis,15-17,25
2011,Age at Diagnosis,18-19,137
2011,Age at Diagnosis,20-24,725
2011,Age at Diagnosis,25-29,843
2011,Age at Diagnosis,30-34,730
2011,Age at Diagnosis,35-39,646
2011,Age at Diagnosis,40-44,622
2011,Age at Diagnosis,45-49,559
2011,Age at Diagnosis,50-54,391
2011,Age at Diagnosis,55-59,227
2011,Age at Diagnosis,60-64,86
2011,Age at Diagnosis,65-74,79
2011,Age at Diagnosis,>= 75,13
2012,Age at Diagnosis,0-11,12
2012,Age at Diagnosis,12-14,4
2012,Age at Diagnosis,15-17,31
2012,Age at Diagnosis,18-19,129
2012,Age at Diagnosis,20-24,778
2012,Age at Diagnosis,25-29,881
2012,Age at Diagnosis,30-34,766
2012,Age at Diagnosis,35-39,565
2012,Age at Diagnosis,40-44,586
2012,Age at Diagnosis,45-49,586
2012,Age at Diagnosis,50-54,389
2012,Age at Diagnosis,55-59,212
2012,Age at Diagnosis,60-64,93
2012,Age at Diagnosis,65-74,61
2012,Age at Diagnosis,>= 75,13
2013,Age at Diagnosis,0-11,20
2013,Age at Diagnosis,12-14,6
2013,Age at Diagnosis,15-17,26
2013,Age at Diagnosis,18-19,120
2013,Age at Diagnosis,20-24,708
2013,Age at Diagnosis,25-29,825
2013,Age at Diagnosis,30-34,730
2013,Age at Diagnosis,35-39,542
2013,Age at Diagnosis,40-44,530
2013,Age at Diagnosis,45-49,492
2013,Age at Diagnosis,50-54,333
2013,Age at Diagnosis,55-59,222
2013,Age at Diagnosis,60-64,110
2013,Age at Diagnosis,65-74,75
2013,Age at Diagnosis,>= 75,13
2014,Age at Diagnosis,0-11,16
2014,Age at Diagnosis,12-14,6
2014,Age at Diagnosis,15-17,30
2014,Age at Diagnosis,18-19,111
2014,Age at Diagnosis,20-24,854
2014,Age at Diagnosis,25-29,972
2014,Age at Diagnosis,30-34,808
2014,Age at Diagnosis,35-39,591
2014,Age at Diagnosis,40-44,546
2014,Age at Diagnosis,45-49,473
2014,Age at Diagnosis,50-54,370
2014,Age at Diagnosis,55-59,235
2014,Age at Diagnosis,60-64,119
2014,Age at Diagnosis,65-74,75
2014,Age at Diagnosis,>= 75,11
2015,Age at Diagnosis,0-11,10
2015,Age at Diagnosis,12-14,1
2015,Age at Diagnosis,15-17,31
2015,Age at Diagnosis,18-19,132
2015,Age at Diagnosis,20-24,886
2015,Age at Diagnosis,25-29,984
2015,Age at Diagnosis,30-34,765
2015,Age at Diagnosis,35-39,580
2015,Age at Diagnosis,40-44,486
2015,Age at Diagnosis,45-49,471
2015,Age at Diagnosis,50-54,380
2015,Age at Diagnosis,55-59,215
2015,Age at Diagnosis,60-64,118
2015,Age at Diagnosis,65-74,81
2015,Age at Diagnosis,>= 75,16
2016,Age at Diagnosis,0-11,11
2016,Age at Diagnosis,12-14,3
2016,Age at Diagnosis,15-17,30
2016,Age at Diagnosis,18-19,124
2016,Age at Diagnosis,20-24,859
2016,Age at Diagnosis,25-29,1037
2016,Age at Diagnosis,30-34,773
2016,Age at Diagnosis,35-39,606
2016,Age at Diagnosis,40-44,467
2016,Age at Diagnosis,45-49,427
2016,Age at Diagnosis,50-54,411
2016,Age at Diagnosis,55-59,230
2016,Age at Diagnosis,60-64,110
2016,Age at Diagnosis,65-74,80
2016,Age at Diagnosis,>= 75,14
2017,Age at Diagnosis,0-11,5
2017,Age at Diagnosis,12-14,4
2017,Age at Diagnosis,15-17,32
2017,Age at Diagnosis,18-19,126
2017,Age at Diagnosis,20-24,788
2017,Age at Diagnosis,25-29,960
2017,Age at Diagnosis,30-34,750
2017,Age at Diagnosis,35-39,572
2017,Age at Diagnosis,40-44,433
2017,Age at Diagnosis,45-49,385
2017,Age at Diagnosis,50-54,332
2017,Age at Diagnosis,55-59,208
2017,Age at Diagnosis,60-64,115
2017,Age at Diagnosis,65-74,68
2017,Age at Diagnosis,>= 75,13
2011,Current Gender,Cisgender men,4471
2011,Current Gender,Cisgender women,561
2011,Current Gender,Transgender women,65
2011,Current Gender,Transgender men,2
2011,Current Gender,Alternative gender,2
2012,Current Gender,Cisgender men,4466
2012,Current Gender,Cisgender women,556
2012,Current Gender,Transgender women,82
2012,Current Gender,Transgender men,2
2012,Current Gender,Alternative gender,0
2013,Current Gender,Cisgender men,4154
2013,Current Gender,Cisgender women,526
2013,Current Gender,Transgender women,70
2013,Current Gender,Transgender men,2
2013,Current Gender,Alternative gender,0
